round,t_start,t_end,rsu_id,unique_vehicles,total_connected_time_s,avg_dist,min_dist,max_dist,handover_in,handover_out
0,0.0,10.0,rsu_0,0,0.0,,,,0,0
0,0.0,10.0,rsu_1,0,0.0,,,,0,0
0,0.0,10.0,rsu_2,0,0.0,,,,0,0
1,10.0,20.0,rsu_0,0,0.0,,,,0,0
1,10.0,20.0,rsu_1,0,0.0,,,,0,0
1,10.0,20.0,rsu_2,0,0.0,,,,0,0
2,20.0,30.0,rsu_0,0,0.0,,,,0,0
2,20.0,30.0,rsu_1,0,0.0,,,,0,0
2,20.0,30.0,rsu_2,0,0.0,,,,0,0
3,30.0,40.0,rsu_0,0,0.0,,,,0,0
3,30.0,40.0,rsu_1,0,0.0,,,,0,0
3,30.0,40.0,rsu_2,0,0.0,,,,0,0
4,40.0,50.0,rsu_0,0,0.0,,,,0,0
4,40.0,50.0,rsu_1,0,0.0,,,,0,0
4,40.0,50.0,rsu_2,0,0.0,,,,0,0
5,50.0,60.0,rsu_0,0,0.0,,,,0,0
5,50.0,60.0,rsu_1,0,0.0,,,,0,0
5,50.0,60.0,rsu_2,0,0.0,,,,0,0
6,60.0,70.0,rsu_0,1,10.0,107.766,77.176,143.531,0,0
6,60.0,70.0,rsu_1,0,0.0,,,,0,0
6,60.0,70.0,rsu_2,0,0.0,,,,0,0
7,70.0,80.0,rsu_0,1,10.0,44.806,21.279,69.239,0,0
7,70.0,80.0,rsu_1,0,0.0,,,,0,0
7,70.0,80.0,rsu_2,0,0.0,,,,0,0
8,80.0,90.0,rsu_0,1,10.0,6.044,1.94,10.415,0,0
8,80.0,90.0,rsu_1,0,0.0,,,,0,0
8,80.0,90.0,rsu_2,0,0.0,,,,0,0
9,90.0,100.0,rsu_0,2,14.0,45.141,6.247,148.577,0,0
9,90.0,100.0,rsu_1,1,10.0,114.086,101.586,142.123,0,0
9,90.0,100.0,rsu_2,0,0.0,,,,0,0
10,100.0,110.0,rsu_0,2,19.0,84.919,24.907,139.489,0,0
10,100.0,110.0,rsu_1,2,7.0,126.061,108.331,147.443,0,0
10,100.0,110.0,rsu_2,0,0.0,,,,0,0
11,110.0,120.0,rsu_0,1,10.0,35.821,27.344,55.136,0,0
11,110.0,120.0,rsu_1,2,13.0,115.569,104.745,145.542,0,0
11,110.0,120.0,rsu_2,1,5.0,130.913,117.041,144.423,0,0
12,120.0,130.0,rsu_0,1,10.0,27.267,26.701,27.332,0,0
12,120.0,130.0,rsu_1,2,20.0,70.719,1.799,106.381,0,0
12,120.0,130.0,rsu_2,1,10.0,78.409,47.415,109.674,0,0
13,130.0,140.0,rsu_0,2,11.0,36.947,23.896,71.766,0,0
13,130.0,140.0,rsu_1,2,20.0,22.448,3.984,76.729,0,0
13,130.0,140.0,rsu_2,1,10.0,16.302,1.157,40.103,0,0
14,140.0,150.0,rsu_0,2,19.0,79.77,60.096,114.554,0,1
14,140.0,150.0,rsu_1,2,20.0,18.056,4.013,30.975,0,0
14,140.0,150.0,rsu_2,2,11.0,59.969,21.773,115.91,1,0
15,150.0,160.0,rsu_0,1,10.0,46.57,39.539,57.131,0,0
15,150.0,160.0,rsu_1,2,20.0,83.833,22.167,149.806,0,0
15,150.0,160.0,rsu_2,2,18.0,95.688,44.296,144.572,0,0
16,160.0,170.0,rsu_0,2,12.0,108.834,60.351,148.176,0,0
16,160.0,170.0,rsu_1,1,10.0,99.792,97.085,102.729,0,0
16,160.0,170.0,rsu_2,1,10.0,18.065,4.057,37.75,0,0
17,170.0,180.0,rsu_0,1,5.0,120.897,93.436,148.712,0,0
17,170.0,180.0,rsu_1,1,7.0,123.055,103.28,149.273,0,0
17,170.0,180.0,rsu_2,1,10.0,64.285,31.769,96.205,0,0
18,180.0,190.0,rsu_0,1,10.0,29.519,2.183,80.05,0,0
18,180.0,190.0,rsu_1,1,6.0,105.684,71.199,139.946,0,0
18,180.0,190.0,rsu_2,1,7.0,124.811,103.634,146.366,0,0
19,190.0,200.0,rsu_0,2,16.0,55.249,6.23,141.682,0,0
19,190.0,200.0,rsu_1,1,10.0,33.064,27.111,57.612,0,0
19,190.0,200.0,rsu_2,0,0.0,,,,0,0
20,200.0,210.0,rsu_0,2,16.0,56.521,2.519,138.472,0,0
20,200.0,210.0,rsu_1,1,10.0,26.891,24.914,27.111,0,0
20,200.0,210.0,rsu_2,0,0.0,,,,0,0
21,210.0,220.0,rsu_0,1,10.0,8.461,6.23,19.457,0,0
21,210.0,220.0,rsu_1,1,10.0,42.555,16.113,93.205,0,0
21,210.0,220.0,rsu_2,0,0.0,,,,0,0
22,220.0,230.0,rsu_0,1,6.0,55.666,27.786,84.109,0,0
22,220.0,230.0,rsu_1,1,3.0,121.691,107.482,136.194,0,0
22,220.0,230.0,rsu_2,0,0.0,,,,0,0
23,230.0,240.0,rsu_0,1,9.0,86.53,35.78,143.22,0,0
23,230.0,240.0,rsu_1,1,10.0,141.41,134.996,149.413,0,0
23,230.0,240.0,rsu_2,1,4.0,134.355,124.971,143.768,0,0
24,240.0,250.0,rsu_0,1,10.0,25.255,5.004,43.184,0,0
24,240.0,250.0,rsu_1,1,6.0,144.29,139.408,148.85,0,0
24,240.0,250.0,rsu_2,1,10.0,89.62,61.56,117.946,0,0
