time,round,veh_id,rsu_id,veh_x,veh_y,dist
60.0,6,veh2,rsu_0,213.57,872.24,143.53
61.0,6,veh2,rsu_0,221.83,869.79,135.12
62.0,6,veh2,rsu_0,230.91,867.09,125.9
63.0,6,veh2,rsu_0,239.02,863.91,117.68
64.0,6,veh2,rsu_0,247.42,860.61,109.24
65.0,6,veh2,rsu_0,255.47,857.44,101.25
66.0,6,veh2,rsu_0,263.45,854.3,93.44
67.0,6,veh2,rsu_0,267.25,852.81,89.78
68.0,6,veh2,rsu_0,272.78,850.55,84.53
69.0,6,veh2,rsu_0,280.7,847.3,77.18
70.0,7,veh2,rsu_0,289.51,844.06,69.24
71.0,7,veh2,rsu_0,298.56,840.76,61.5
72.0,7,veh2,rsu_0,307.0,837.69,54.84
73.0,7,veh2,rsu_0,315.49,834.6,48.88
74.0,7,veh2,rsu_0,324.01,831.49,43.97
75.0,7,veh2,rsu_0,331.16,828.89,40.96
76.0,7,veh2,rsu_0,335.22,827.41,39.81
77.0,7,veh2,rsu_0,341.38,826.98,37.25
78.0,7,veh2,rsu_0,345.4,832.8,30.32
79.0,7,veh2,rsu_0,349.1,841.06,21.28
80.0,8,veh2,rsu_0,353.56,851.01,10.41
81.0,8,veh2,rsu_0,357.19,859.08,1.94
82.0,8,veh2,rsu_0,359.55,864.34,4.45
83.0,8,veh2,rsu_0,360.26,865.94,6.15
84.0,8,veh2,rsu_0,360.3,866.02,6.24
85.0,8,veh2,rsu_0,360.3,866.03,6.25
86.0,8,veh2,rsu_0,360.3,866.03,6.25
87.0,8,veh2,rsu_0,360.3,866.03,6.25
88.0,8,veh2,rsu_0,360.3,866.03,6.25
89.0,8,veh2,rsu_0,360.3,866.03,6.25
90.0,9,veh1,rsu_1,683.05,1285.15,142.12
90.0,9,veh2,rsu_0,360.3,866.03,6.25
91.0,9,veh1,rsu_1,669.32,1289.32,132.69
91.0,9,veh2,rsu_0,360.3,866.03,6.25
92.0,9,veh1,rsu_1,655.39,1293.31,123.92
92.0,9,veh2,rsu_0,360.3,866.03,6.25
