round,t_start,t_end,rsu_id,unique_vehicles,total_connected_time_s,handover_in,handover_out
0,0.0,10.0,rsu_0,0,0.0,0,0
0,0.0,10.0,rsu_1,0,0.0,0,0
0,0.0,10.0,rsu_2,0,0.0,0,0
1,10.0,20.0,rsu_0,0,0.0,0,0
1,10.0,20.0,rsu_1,0,0.0,0,0
1,10.0,20.0,rsu_2,0,0.0,0,0
2,20.0,30.0,rsu_0,0,0.0,0,0
2,20.0,30.0,rsu_1,0,0.0,0,0
2,20.0,30.0,rsu_2,0,0.0,0,0
3,30.0,40.0,rsu_0,0,0.0,0,0
3,30.0,40.0,rsu_1,0,0.0,0,0
3,30.0,40.0,rsu_2,0,0.0,0,0
4,40.0,50.0,rsu_0,0,0.0,0,0
4,40.0,50.0,rsu_1,0,0.0,0,0
4,40.0,50.0,rsu_2,0,0.0,0,0
5,50.0,60.0,rsu_0,0,0.0,0,0
5,50.0,60.0,rsu_1,0,0.0,0,0
5,50.0,60.0,rsu_2,0,0.0,0,0
6,60.0,70.0,rsu_0,1,10.0,0,0
6,60.0,70.0,rsu_1,0,0.0,0,0
6,60.0,70.0,rsu_2,0,0.0,0,0
7,70.0,80.0,rsu_0,1,10.0,0,0
7,70.0,80.0,rsu_1,0,0.0,0,0
7,70.0,80.0,rsu_2,0,0.0,0,0
8,80.0,90.0,rsu_0,1,10.0,0,0
8,80.0,90.0,rsu_1,0,0.0,0,0
8,80.0,90.0,rsu_2,0,0.0,0,0
9,90.0,100.0,rsu_0,2,14.0,0,0
9,90.0,100.0,rsu_1,1,10.0,0,0
9,90.0,100.0,rsu_2,0,0.0,0,0
10,100.0,110.0,rsu_0,2,19.0,0,0
10,100.0,110.0,rsu_1,2,7.0,0,0
10,100.0,110.0,rsu_2,0,0.0,0,0
11,110.0,120.0,rsu_0,1,10.0,0,1
11,110.0,120.0,rsu_1,2,13.0,1,0
11,110.0,120.0,rsu_2,1,5.0,0,0
12,120.0,130.0,rsu_0,1,10.0,0,0
12,120.0,130.0,rsu_1,2,20.0,0,0
12,120.0,130.0,rsu_2,1,10.0,0,0
13,130.0,140.0,rsu_0,2,11.0,0,0
13,130.0,140.0,rsu_1,2,20.0,0,0
13,130.0,140.0,rsu_2,1,10.0,0,0
14,140.0,150.0,rsu_0,2,19.0,0,0
14,140.0,150.0,rsu_1,2,20.0,0,0
14,140.0,150.0,rsu_2,1,10.0,0,0
15,150.0,160.0,rsu_0,1,10.0,0,1
15,150.0,160.0,rsu_1,2,20.0,0,0
15,150.0,160.0,rsu_2,2,18.0,1,0
16,160.0,170.0,rsu_0,2,12.0,1,0
16,160.0,170.0,rsu_1,1,10.0,0,1
16,160.0,170.0,rsu_2,1,10.0,0,0
17,170.0,180.0,rsu_0,1,5.0,0,0
17,170.0,180.0,rsu_1,1,7.0,0,0
17,170.0,180.0,rsu_2,1,10.0,0,0
18,180.0,190.0,rsu_0,1,10.0,0,0
18,180.0,190.0,rsu_1,1,6.0,0,0
18,180.0,190.0,rsu_2,1,7.0,0,0
19,190.0,200.0,rsu_0,2,16.0,0,0
19,190.0,200.0,rsu_1,1,10.0,0,0
19,190.0,200.0,rsu_2,0,0.0,0,0
20,200.0,210.0,rsu_0,2,16.0,0,0
20,200.0,210.0,rsu_1,1,10.0,0,0
20,200.0,210.0,rsu_2,0,0.0,0,0
21,210.0,220.0,rsu_0,1,10.0,0,0
21,210.0,220.0,rsu_1,1,10.0,0,0
21,210.0,220.0,rsu_2,0,0.0,0,0
22,220.0,230.0,rsu_0,1,6.0,0,0
22,220.0,230.0,rsu_1,1,3.0,0,0
22,220.0,230.0,rsu_2,0,0.0,0,0
23,230.0,240.0,rsu_0,1,9.0,1,0
23,230.0,240.0,rsu_1,1,10.0,0,1
23,230.0,240.0,rsu_2,1,4.0,0,0
24,240.0,250.0,rsu_0,1,10.0,0,0
24,240.0,250.0,rsu_1,1,6.0,0,0
24,240.0,250.0,rsu_2,1,10.0,0,0
25,250.0,260.0,rsu_0,1,10.0,0,0
25,250.0,260.0,rsu_1,0,0.0,0,0
25,250.0,260.0,rsu_2,1,10.0,0,0
26,260.0,270.0,rsu_0,1,6.0,0,0
26,260.0,270.0,rsu_1,0,0.0,0,0
26,260.0,270.0,rsu_2,1,10.0,0,0
27,270.0,280.0,rsu_0,1,9.0,0,0
27,270.0,280.0,rsu_1,0,0.0,0,0
27,270.0,280.0,rsu_2,1,10.0,0,0
28,280.0,290.0,rsu_0,1,10.0,0,0
28,280.0,290.0,rsu_1,0,0.0,0,0
28,280.0,290.0,rsu_2,1,10.0,0,0
29,290.0,300.0,rsu_0,1,10.0,0,0
29,290.0,300.0,rsu_1,0,0.0,0,0
29,290.0,300.0,rsu_2,1,1.0,0,0
30,300.0,310.0,rsu_0,1,2.0,0,0
30,300.0,310.0,rsu_1,0,0.0,0,0
30,300.0,310.0,rsu_2,0,0.0,0,0
31,310.0,320.0,rsu_0,0,0.0,0,1
31,310.0,320.0,rsu_1,1,10.0,1,0
31,310.0,320.0,rsu_2,0,0.0,0,0
32,320.0,330.0,rsu_0,0,0.0,0,0
32,320.0,330.0,rsu_1,1,10.0,0,0
32,320.0,330.0,rsu_2,0,0.0,0,0
33,330.0,340.0,rsu_0,0,0.0,0,0
